Domain Code,Domain,Area Code (M49),country,Element Code,element,Item Code (CPC),item,Year Code,year,Months Code,month,unit,value,flag,flag_description,iso3,is_imputed,is_outlier
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2002,2002,7021,Annual value,LCU,1460.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2003,2003,7021,Annual value,LCU,1250.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2004,2004,7021,Annual value,LCU,2260.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2005,2005,7021,Annual value,LCU,1470.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2006,2006,7021,Annual value,LCU,1410.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2007,2007,7021,Annual value,LCU,2760.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2009,2009,7021,Annual value,LCU,2330.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2011,2011,7021,Annual value,LCU,1550.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2016,2016,7021,Annual value,LCU,2752.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2017,2017,7021,Annual value,LCU,1308.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2018,2018,7021,Annual value,LCU,1620.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2019,2019,7021,Annual value,LCU,2168.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2023,2023,7021,Annual value,LCU,3807.6,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2024,2024,7021,Annual value,LCU,3559.8,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01211,Asparagus,1991,1991,7021,Annual value,LCU,3374.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01211,Asparagus,1992,1992,7021,Annual value,LCU,4924.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01211,Asparagus,1993,1993,7021,Annual value,LCU,4967.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01211,Asparagus,1994,1994,7021,Annual value,LCU,5744.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01211,Asparagus,1995,1995,7021,Annual value,LCU,5855.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01211,Asparagus,1996,1996,7021,Annual value,LCU,5094.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01211,Asparagus,1997,1997,7021,Annual value,LCU,4762.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01211,Asparagus,1998,1998,7021,Annual value,LCU,5131.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01211,Asparagus,1999,1999,7021,Annual value,LCU,5957.0,A,Official figure,AUS,False,False
