date,ffpi_food,ffpi_meat,ffpi_dairy,ffpi_cereals,ffpi_oils,ffpi_sugar,year,month_num
1996-11-01,72.72296606727673,85.42263591051733,59.8906762652618,67.43858689701264,70.01142951014965,66.34157503352776,1996,11
1996-12-01,71.51559815131478,81.45322282560754,60.17926227789414,67.57742863785006,70.16698658792495,66.46534662873955,1996,12
1997-01-01,70.9713894935132,79.07824056053927,60.3364748377535,68.09151953207802,70.75777979270642,66.15591764071004,1997,1
1997-02-01,71.2158414683604,79.39923197119272,59.450831338853675,68.39172089265556,71.49264275634127,66.89854721198087,1997,2
1997-03-01,72.99880426782316,83.10540963934281,59.25146981529961,70.60720885617575,70.31972003188626,68.75512114015795,1997,3
1997-04-01,73.51651948764852,83.91655214817968,59.113467875525714,70.78857172148325,71.10651113039238,69.93095129467012,1997,4
1997-05-01,72.8858192999021,83.8321553738266,58.849695887864314,68.76194114634049,71.64676747083121,68.94077853297567,1997,5
1997-06-01,70.34125128857102,80.38417003971847,58.60584004012347,65.15899688305586,68.96236673161567,70.73546666354684,1997,6
1997-07-01,68.5915321893218,79.70961764936077,58.083663628981334,62.4343952175878,65.52835362063738,69.43586491382288,1997,7
1997-08-01,69.9720901742599,80.61742920522116,57.78695236582303,65.65820042550794,65.39651908375663,72.40638319890621,1997,8
1997-09-01,70.10727668643288,80.17133278678502,59.04505213943244,65.10861460145057,67.96456327988115,70.11660868748781,1997,9
1997-10-01,69.8702470153705,75.82181103347959,60.78241679343765,65.55985746424618,72.78153922777436,70.61169506833505,1997,10
1997-11-01,70.46243501614457,75.96358140890453,61.01254398576701,64.1574523349344,76.70513521920576,74.33722008421039,1997,11
1997-12-01,68.14867926061379,69.80521987585207,61.049001302002054,63.41552771544012,75.55491704967295,76.3051884480781,1997,12
1998-01-01,67.51430459998451,67.71402037923069,60.91099936222816,62.74223226988113,79.26237256123846,71.47809623481768,1998,1
1998-02-01,67.74564834197798,68.74233246340349,59.69866250535527,62.696284472851055,81.87627348670667,66.34157503352776,1998,2
1998-03-01,67.5781375738467,68.36973565889474,57.80738534970208,63.1808040746103,84.68154713941315,60.89562484420831,1998,3
1998-04-01,67.04230299560152,68.41712770371309,57.61732942664953,60.82725259765376,86.00566313306153,59.967337880119764,1998,4
1998-05-01,66.62729020327299,66.83101993274616,56.466038258726584,60.18980963654541,89.96952622613034,57.120591190248234,1998,5
1998-06-01,64.40691504911439,66.66438720882383,55.56781262674237,59.00795639426224,82.75762714989625,50.127496060781226,1998,6
1998-07-01,64.43462437618004,67.02774407004902,55.34551275957911,57.51372152196994,83.55527932777089,53.469329131499975,1998,7
